NOME,ARTISTA,GENERO,ALBUM,ANO LANCAMENTO
Completa a frase,Henrique e juliano feat Marilia Mendoça,sertanejo,Menos e mais,2019
Caso Indefinido,Cristiano Araujo,sertanejo,In the cities,2017
Surto de amor,Bruno e marrone feat Jorge e Matheus,sertanejo,Ao vivo,2020
E com ela que eu estou,Cristiano Araujo,sertanejo,IN the cities,2017
Foi por convivencia,Marilia Mendonça,sertanejo,M,2021
Total Eclipse of the Heart,Bonnie Tyle,pop,Turn Around,2005
skyfall,Adele,pop orquestral,Original motion,2012
Die with A smile,Lady gaga feat  bruno mars,pop,Music,2024
BIRDS OF A FEATHER,Billie Eilish,pop,Hit Me Hard and Soft,2024
WILDFLOWER,Billie Eilish,pop,Hit Me Hard and Sof,2024
POker face,Lady gaga,pop,The Fame,2008
I Want To Know What Love Is,Mariah Carey,pop,Memoirs of an Imperfect Angel,2009
Graveto,Marilia mendonça,sertanejo,Todos os cantos,2019
ciumera,marilia mendonça,sertanejo,todos os cantos,2019
bem pior que eu,Marilia mendonça,sertanejo,todos os cantos,2019
Aliança,Canção de Tribalistas,Album de estreia,mpb,25 de agosto de 2017
Lovers,Anna of the North,subgênero musical do reggae,single,8 setembro 2017
I Like Me Better,pop,Lauv,I Met You When I Was 18 (The Playlist),2018
Show das poderosas,Anitta,Reggae# Pop# Axé# Funk brasileiro,Anitta,2013
O Vagabundo E A Dama,Oriente,Hip-Hop/rap,Desorientado,2011
Chicago,Michael Jackson,Pop R&B,Xscape,1999
24K Magic,Bruno Mars,Funk# Disco# R&B contemporâneo# R&B/soul,single,18 de novembro de 2016
The Lazy Song,Bruno Mars,Reggae# Ska# Soul clássico,Doo-Wops & Hooligans,2010
Uptown Funk,Bruno Mars e Mark Ronson,Funk#Eletrônica#Soul contemporâneo,single,12 de janeiro de 2015
Baby,Justin Bieber,Ludacris,My World 2.0,2010
Despacito,Luis Fonsi,Reggaeton# Pop latino# Pop,Despacito,2017
Eu fui comprado,Fernandinho,gospel,Uma Nova História,2009
Shake it Off,Taylor Swift,Dance-pop,1989,2014
Lover,Taylor Swift,Pop,Lover,2019
Sure Thing,Miguel,Soul contemporâneo,All I Want Is You,2010
BIRDS OF A FEATHER,Billie Eilish,Música pop,Hit Me Hard and Soft,2024
deja vu,Olivia Rodrigo,Pop dance,Sour,2021
drivers license,Olivia Rodrigo,Pop,Sour,2021
thank u next,Arina Grande,R&B contemporâneo# Trap,thank u next,single  8 de fevereiro de 2019
Blank Space,Taylor Swift,Pop,1989,2014
Meteoro,Luan Santana,Sertanejo universitário,Tô de Cara,2009
Água com açúcar,Luan Santana,Sertanejo universitário,Viva,2019
Incondicional,Luan Santana,Sertanejo universitário,Quando chega a noite,2012
Promete,Luan Santana,Sertanejo universitário,Quando chega a noite,2012
Tanto faz,Luan Santana,Sertanejo universitário,O Nosso Tempo É Hoje,2013
Chuva de Arroz,Luan Santana,Sertanejo universitário,Luan Santana - Acústico,2015
